Component,Quantity,Price Estimate,Link
MG996R Motors,12,$54,https://www.amazon.com/6-Pack-MG996R-Torque-Digital-Helicopter/dp/B07MFK266B/ref=asc_df_B0BMM1G74B
PCA9685,1,$14,https://www.amazon.com/HiLetgo-PCA9685-Channel-12-Bit-Arduino/dp/B07BRS249H
12V to 5V Voltage Transformer,1,$10,https://www.amazon.com/VOLRANTISE-Converter-Voltage-Regulator-Transformer/dp/B09WZ9DC9W
Raspberry Pi Zero 2 W,1,$22,https://www.amazon.com/Raspberry-Zero-Bluetooth-RPi-2W/dp/B09LH5SBPS
LiPo 4s Battery x2, 1, $30, https://www.amazon.com/Zeee-Graphene-Quadcopter-Helicopter-Airplane/dp/B07Y64VRZ5/ref=sr_1_1_sspa?crid=3UFO1VYMQ16I&dib=eyJ2IjoiMSJ9.hzQdwrjjTu8mG372_-DrDpA_ZqtxSeWrjYI8yNKIHlwUXBcur6CTFZxb0beaYRNOwt9bewJDyvMyJZyQ1-8xep_xG-vVzKXNX_cZItHHgPxr1IOE-rvMaivnMiuvui_eT0PX_EfjcPhPKgcSjlOwgGjCm9rkxOahJ0oa1oJwAhSm7Q4jCxU6hcs5Em3c-SpofQp-7W0FGF_Z4ccslRVSl9QVJYDb3kRRna1j1-nBZFNQ84SVx4mWoHSqitia2CEaQKV-hnJ1faenTTKOX_X6hYby5rT7l-b5UbTMRoEH7pA.sENvVHEO68gXd5RuV9cftWyHKYslchkXhgJ9fIxMg34&dib_tag=se&keywords=lipo+4s+battery&qid=1753889153&sprefix=lipo+4s+battery%2Caps%2C108&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Total,16,$130,N/A
